id,character,dialogue,movie,race,is_evil
2120,Gandalf,You didn't think Id miss your Uncle Bilbo's birthday?    ,The Fellowship of the Ring ,maiar,false
2121,Gandalf,So how is the old rascal? I hear it is going to be a     party of special significance?      ,The Fellowship of the Ring ,maiar,false
2122,Frodo,You know Bilbo he's got the whole place in an uproar.,The Fellowship of the Ring ,hobbit,false
2123,Gandalf,Well that should please him. ,The Fellowship of the Ring ,maiar,false
2124,Frodo,Half the Shire's been invited.     And the rest of them are turning up anyway. ,The Fellowship of the Ring ,hobbit,false
2126,Bilbo,And there always will be.      ,The Fellowship of the Ring ,hobbit,false
2127,Frodo,"To tell you the truth, Bilbo has been acting a bit odd     lately. ,I     mean, more than usual. He's taken to locking himself in his study.    , He spends hours     and hours poring over old maps when he thinks I'm not looking.      ",The Fellowship of the Ring ,hobbit,false
2128,Bilbo,Where's it gone?      ,The Fellowship of the Ring ,hobbit,false
2129,Bilbo,Aaaaah. ,The Fellowship of the Ring ,hobbit,false
2130,Frodo,"He's up to something. , All right then,     keep your secrets!",The Fellowship of the Ring ,hobbit,false
2131,Gandalf,What? ,The Fellowship of the Ring ,maiar,false
2132,Smeagol,No! No! Never! Smeagol hates nasty Hobbitses. Smeagol wants to see them'. Dead!,The Return of the King ,hobbit,false
2133,Gollum,"And we will! Smeagol did it once, he can do it again!     ,     Its ours! Ours!",The Return of the King ,hobbit,false
2134,Smeagol,We must get the precious! We must get it back!,The Return of the King ,hobbit,false
2135,Gollum,Patience! Patience my love! First we must lead them to her!,The Return of the King ,hobbit,false
2136,Smeagol,We lead them to the winding stair.,The Return of the King ,hobbit,false
2137,Gollum,"Yes, the stairs and then?",The Return of the King ,hobbit,false
2259,Merry,What are you doing?,The Return of the King ,hobbit,false
2138,Smeagol,"Up, up, up the stairs we go until we come to the tunnel.",The Return of the King ,hobbit,false
2139,Gollum,"And when they go in, there's no coming out. She's always hungry. She     always needs to' feed. She must eat. All she gets is filthy Orcses.",The Return of the King ,hobbit,false
2140,Smeagol,"And they doesn't taste very nice, does they Precious?",The Return of the King ,hobbit,false
2141,Gollum,"No, not very nice at all, my love. She hungers for sweeter meats.    ,     Hobbit meat. And when she throws away the bones and the empty clothes     , then we will find it.",The Return of the King ,hobbit,false
